# index, node_type, node_subtype, name, _pos
167,INTERNEURONS,,AVFL,"array([ -1.70512976, -14.56116394])"
168,INTERNEURONS,,AVFR,"array([ -3.56813977, -14.89885359])"
169,INTERNEURONS,,AVHL,"array([ -2.30552043, -15.13924326])"
170,INTERNEURONS,,AVHR,"array([ -2.63893062, -14.90398924])"
171,INTERNEURONS,,PVPL,"array([ -2.92950312, -15.41375037])"
172,INTERNEURONS,,PVPR,"array([ -3.16916856, -15.76122904])"
173,INTERNEURONS,,LUAL,"array([ -0.21205368, -16.51435788])"
174,INTERNEURONS,,LUAR,"array([ -1.46749293, -17.29504991])"
175,INTERNEURONS,,PVNL,"array([ -2.12896107, -16.58927114])"
176,INTERNEURONS,,PVNR,"array([ -3.01932323, -16.51837886])"
177,INTERNEURONS,,AVG,"array([ -1.78971217, -15.07498767])"
178,INTERNEURONS,,DVB,"array([ -2.23945359, -14.59440008])"
179,INTERNEURONS,,RIBL,"array([ -7.17197488, -17.40843357])"
180,INTERNEURONS,,RIBR,"array([ -6.49301264, -16.58832394])"
181,INTERNEURONS,,RIGL,"array([ -6.85852506, -16.97122225])"
182,INTERNEURONS,,RIGR,"array([ -7.06015122, -16.55089932])"
183,INTERNEURONS,,RMGL,"array([ -6.69060254, -13.76778703])"
184,INTERNEURONS,,RMGR,"array([ -5.24757554, -13.15355509])"
185,INTERNEURONS,,AIBL,"array([ -6.56894147, -15.4331371 ])"
186,INTERNEURONS,,AIBR,"array([ -5.38186811, -14.91603242])"
187,INTERNEURONS,,RICL,"array([ -5.20057117, -11.68976016])"
188,INTERNEURONS,,RICR,"array([ -4.78303871, -12.65952327])"
189,INTERNEURONS,,SAADL,"array([ -7.02231011, -15.23937857])"
190,INTERNEURONS,,SAADR,"array([ -8.53544371, -18.33812025])"
191,INTERNEURONS,,SAAVL,"array([ -7.52763151, -15.09141746])"
192,INTERNEURONS,,SAAVR,"array([ -5.97908235, -17.48928751])"
193,INTERNEURONS,,AVKL,"array([ -4.49128635, -15.82961411])"
194,INTERNEURONS,,AVKR,"array([ -4.91945415, -14.66162817])"
195,INTERNEURONS,,DVC,"array([ -3.57290632, -15.42973572])"
196,INTERNEURONS,,AVJL,"array([ -2.54937196, -16.76988817])"
197,INTERNEURONS,,AVJR,"array([ -2.01968606, -16.23239715])"
198,INTERNEURONS,,PVT,"array([ -3.85543352, -15.89670303])"
199,INTERNEURONS,,AVDL,"array([ -2.97685733, -16.0597786 ])"
200,INTERNEURONS,,AVDR,"array([ -3.63577195, -16.29433655])"
201,INTERNEURONS,,AVL,"array([ 16.21503853, -15.81718657])"
202,INTERNEURONS,,PVWL,"array([ -0.80760588, -16.31859266])"
203,INTERNEURONS,,PVWR,"array([ -2.5458118 , -16.32141277])"
204,INTERNEURONS,,RIAL,"array([ -9.17924664, -15.27495668])"
205,INTERNEURONS,,RIAR,"array([ -7.87292004, -16.61280618])"
206,INTERNEURONS,,RIML,"array([ -6.22643461, -16.95781811])"
207,INTERNEURONS,,RIMR,"array([ -4.71088695, -15.45846578])"
208,INTERNEURONS,,AVEL,"array([ -6.05546907, -16.20630211])"
209,INTERNEURONS,,AVER,"array([ -5.66054155, -16.15520973])"
210,INTERNEURONS,,RMFL,"array([ -7.54874792, -18.4264377 ])"
211,INTERNEURONS,,RMFR,"array([19.39978645, -2.36343338])"
212,INTERNEURONS,,RID,"array([ -2.87187679, -18.21353402])"
213,INTERNEURONS,,AVBL,"array([ -4.51786954, -18.82535252])"
214,INTERNEURONS,,AVBR,"array([ -4.09457993, -19.13016184])"
