synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
4393350,5691934,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4393350,5750884,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,6692908,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,8805777,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
4393350,8821758,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4393350,9161929,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,9507904,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,9637388,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,9720614,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,10982951,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4393350,11263687,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4393350,16594752,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,17105977,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4393350,17777259,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,18058644,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,18655517,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4393350,18656202,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,20443420,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,20730780,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4393350,21220994,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4555763,1690576,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4555763,8970595,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4555763,9051500,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4555763,9637388,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
4555763,10079731,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4555763,11361875,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4555763,17326218,chem,other,none,5.00,0.50,11,子图 MD 痛觉 内部化学连接
4555763,17425996,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4555763,17777259,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
4555763,18655517,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4555763,21250110,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4664256,4664256,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4664256,5769582,chem,other,none,5.00,0.50,9,子图 MD 痛觉 内部化学连接
4664256,6723364,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
4664256,10319019,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
