synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
2597151,3436420,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2597151,3498479,chem,other,none,5.00,0.50,13,子图 运动命令 内部化学连接
2597151,3926669,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2597151,3946166,chem,other,none,5.00,0.50,13,子图 运动命令 内部化学连接
2597151,4453485,chem,other,none,5.00,0.50,11,子图 运动命令 内部化学连接
2597151,4506509,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
2597151,4523584,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2597151,4523803,chem,other,none,5.00,0.50,9,子图 运动命令 内部化学连接
2597151,6445994,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2597151,7476468,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2597151,7557604,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2597151,10059655,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
2597151,10329208,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
2597151,10459723,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
2597151,10563755,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2597151,10728318,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
